2026-08-26 01:09:47.966 PDT [981399] LOG:  registered custom cumulative statistics "ecaz" with ID 25
2026-08-26 01:09:47.977 PDT [981399] LOG:  starting PostgreSQL 18.3 on x86_64-pc-linux-gnu, compiled by gcc (Ubuntu 11.4.0-1ubuntu1~22.04.3) 11.4.0, 64-bit
2026-08-26 01:09:47.977 PDT [981399] LOG:  listening on IPv4 address "127.0.0.1", port 44060
2026-08-26 01:09:47.985 PDT [981405] LOG:  database system was shut down at 2026-08-26 01:09:45 PDT
2026-08-26 01:09:47.996 PDT [981399] LOG:  database system is ready to accept connections
2026-08-26 01:12:01.214 PDT [981574] ERROR:  ec_distann physical aminsert failed: EC_FAULT_INJECTED: physical insert failed after graph append before backlinks
2026-08-26 01:12:01.214 PDT [981574] STATEMENT:  SET ec_distann.debug_fail_insert=true; INSERT INTO mi VALUES (501,'00000000-0000-4000-8000-000000000501',(SELECT array_agg((component / norm)::real ORDER BY d) FROM (SELECT d, component, sqrt(sum(component * component) OVER ()) AS norm FROM (SELECT d, (sin((501) * 0.017 * (d + 1)) + cos((501) * 0.0031 * (d + 1)))::double precision AS component FROM generate_series(0, 16 - 1) AS d) raw) normalized), encode_to_ecvector((SELECT array_agg((component / norm)::real ORDER BY d) FROM (SELECT d, component, sqrt(sum(component * component) OVER ()) AS norm FROM (SELECT d, (sin((501) * 0.017 * (d + 1)) + cos((501) * 0.0031 * (d + 1)))::double precision AS component FROM generate_series(0, 16 - 1) AS d) raw) normalized), 4, 42));
2026-08-26 01:12:25.031 PDT [981399] LOG:  received fast shutdown request
2026-08-26 01:12:25.037 PDT [981399] LOG:  aborting any active transactions
2026-08-26 01:12:25.038 PDT [981399] LOG:  background worker "logical replication launcher" (PID 981408) exited with exit code 1
2026-08-26 01:12:25.064 PDT [981403] LOG:  shutting down
2026-08-26 01:12:25.070 PDT [981403] LOG:  checkpoint starting: shutdown immediate
2026-08-26 01:12:25.442 PDT [981403] LOG:  checkpoint complete: wrote 13205 buffers (80.6%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 18 recycled; write=0.076 s, sync=0.196 s, total=0.379 s; sync files=309, longest=0.024 s, average=0.001 s; distance=301729 kB, estimate=301729 kB; lsn=0/13DFCC40, redo lsn=0/13DFCC40
2026-08-26 01:12:25.468 PDT [981399] LOG:  database system is shut down
